update,mean,std,count,smooth,smooth_sd
223,-292.3353512630009,83.0783041482762,10,-393.8484398586593,158.90404003728787
224,-472.7228398466732,152.04903480642704,10,-395.3071926474274,158.9700784260572
225,-447.75724092694725,176.17398621045032,10,-397.23328480975965,159.90609344311773
226,-407.14615570726045,165.38701019286123,10,-397.3147112666757,159.7347739441063
227,-487.524448423191,167.6942591681745,10,-398.5304356328564,159.53710574302318
228,-360.983869278014,170.12986393551466,10,-396.43883451185417,159.08871212541027
229,-390.1383010941166,174.62502117986563,10,-396.46920678955644,158.69703653685
230,-406.21473948964774,122.1456256168703,10,-396.1757370971669,159.11068047126722
231,-336.45417315101815,142.49952694369452,10,-395.02668776174073,157.7065931133787
232,-431.4843034038934,272.5609802299499,10,-396.2560042514484,158.6629031527059
233,-404.52929496753836,157.97102758030695,10,-396.8206189925975,158.19397681951259
234,-372.3898286452749,150.3476605318577,10,-396.3745618284071,156.69355355101203
235,-393.14955076353937,150.6545194614142,10,-396.60351627817,157.4955990611003
236,-377.28623213873885,98.54513831384901,10,-397.840527984803,156.82513503499396
237,-351.66704601576566,137.18065233588675,10,-396.5171812410335,157.0562208688626
238,-309.73092488007626,83.72391435489511,10,-396.5385412021439,156.81501729106142
239,-403.5374018380763,112.79316467825598,10,-396.53184633343005,156.5780048758055
240,-389.5256797681915,175.2938226535107,10,-396.785481980995,157.40798083658714
241,-478.99034765322057,174.16302700262634,10,-399.95205425774293,158.72981412985314
242,-335.911574994676,99.05710823716244,10,-400.18552587762525,157.970414704584
243,-454.0612404239579,199.1997332324618,10,-402.0047232882958,158.81806721951804
244,-432.32071333655296,114.83216444547962,10,-400.65843307006173,157.2552692087664
245,-307.2622196094643,79.10073372676734,10,-398.01294298538966,154.86006121881752
246,-421.3227644844551,221.21942599958078,10,-398.7619486681142,156.90431263875848
247,-420.2493111392405,200.1739049177687,10,-399.0809784906807,158.10567570078769
248,-504.108503108611,148.0702828629584,10,-400.69594295625626,157.80929106690735
249,-376.93366027788113,139.09931313705343,10,-400.8322193670307,157.2901862746925
250,-427.6469465181146,144.19246738286446,10,-401.30002098096156,156.859919193854
251,-422.93051151006813,286.0365086504115,10,-401.6598953619229,159.05223958794338
252,-322.510514196269,146.32404744097133,10,-400.27698606521625,159.0135548753768
253,-370.13220468822954,211.39135125219028,10,-400.85113037935747,159.43507201673808
254,-371.860688221858,136.16267456099334,10,-399.85962894179994,159.65887286934495
255,-406.12052209735475,237.83659708334935,10,-399.9445777045826,162.03847086542416
256,-417.4844708407676,130.70410406551716,10,-401.05201895362705,161.44702404795063
257,-378.67952631963374,153.01310339466875,10,-401.97514785632427,162.4942436107954
258,-418.1878510308117,219.6578200199088,10,-403.2430411435587,164.23568093645153
259,-359.04643980477965,143.85345131720013,10,-402.9214401043771,164.41773375067484
260,-295.1821691852519,127.16575316181212,10,-400.37479550271075,162.75102640502215
261,-336.1715567686657,160.62899000140993,10,-398.4878511988976,160.81113581068198
262,-431.7380454345317,235.95894500000747,10,-398.17183325852216,161.8762429153924
263,-346.2784248352471,101.3373933944372,10,-396.3787366818489,161.80211200986278
264,-353.90178922325083,148.75664418454187,10,-395.1609047485623,160.95714940627093
265,-429.65147484011277,199.0850096683106,10,-394.3326503447903,161.64927476017073
